0,次のうち哺乳類はどれ？,コアオハナムグリ,ツバメシジミ,ドール,セスジスズメ,ドール,aaaaaaaaaaaaaaaaaaaaaaaa
1,次のうち哺乳類はどれ？2,コアオハナムグリ,ツバメシジミ,ドール,セスジスズメ,ドール,aaaaaaaaaaaaaaaaaaaaaaaa
2,3,3A,3B,3C,3D,3D,sasa
3,4,4A,4B,4C,4D,4D,4
4,4,4A,4B,4C,4D,4D,4
5,4,4A,4B,4C,4D,4D,4
6,4,4A,4B,4C,4D,4D,4
7,4,4A,4B,4C,4D,4D,4
8,4,4A,4B,4C,4D,4D,4
9,4,4A,4B,4C,4D,4D,4
10,4,4A,4B,4C,4D,4D,4
11,4,4A,4B,4C,4D,4D,4
12,5,5A,5B,5C,5D,5D,5
13,5,5A,5B,5C,5D,5D,5
14,5,5A,5B,5C,5D,5D,5
15,5,5A,5B,5C,5D,5D,5
16,5,5A,5B,5C,5D,5D,5
17,6,6A,6B,6C,6D,6D,6
18,6,6A,6B,6C,6D,6D,6
19,7,7A,7B,7C,7D,7D,7
